,name,level,record_longest_win_streak,losses,total_games_played,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak
226,vqcci,1000.0,46.0,732.0,8137.0,0.4125683009624481,8137.0,25377.0,302.0,2.1997478008270264,5065.0,55823.0,9818.0,30.0
227,Brooleeg,786.0,88.0,1115.0,7430.0,0.8403587341308594,7430.0,40512.0,937.0,1.449990153312683,6387.0,58742.0,13416.0,17.0
228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,matt93mcg,782.0,42.0,2214.0,20090.0,0.6982836723327637,20090.0,71854.0,1546.0,1.5425446033477783,26882.0,110838.0,16756.0,14.0
230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,LaVida89,491.0,17.0,431.0,9440.0,0.26218098402023315,9440.0,20948.0,113.0,1.8851919174194336,547.0,39491.0,7262.0,11.0
234,HOWELL1993,217.0,24.0,684.0,5253.0,0.8888888955116272,5253.0,14121.0,608.0,1.7830890417099,1929.0,25179.0,4749.0,14.0
235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,G_a_j_a_n_9,1000.0,33.0,1012.0,18632.0,0.17984189093112946,18632.0,50686.0,182.0,1.2647279500961304,35287.0,64104.0,16717.0,12.0
237,JoneillF24,732.0,13.0,694.0,9648.0,0.19452449679374695,9648.0,25763.0,135.0,1.3590031862258911,4768.0,35012.0,12192.0,14.0
238,Markoudshoorn10,252.0,67.0,395.0,5104.0,0.39746835827827454,5104.0,13573.0,157.0,1.7741103172302246,1972.0,24080.0,5588.0,20.0
239,Hernandez-512-,272.0,64.0,574.0,9769.0,0.4268292784690857,9769.0,25620.0,245.0,1.8833333253860474,3895.0,48251.0,8951.0,13.0
240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
241,WestBoyChris,472.0,34.0,953.0,11158.0,0.4952780604362488,11158.0,33802.0,472.0,1.279539704322815,17227.0,43251.0,10949.0,14.0
242,Cc3FyneSt15,766.0,45.0,582.0,10792.0,0.3161512017250061,10792.0,35248.0,184.0,1.3642759323120117,18523.0,48088.0,9200.0,18.0
243,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,mwins19,371.0,33.0,960.0,6734.0,0.4208333194255829,6734.0,26424.0,404.0,0.938502848148346,1618.0,24799.0,6595.0,12.0
245,xstuntinx,354.0,36.0,1011.0,7750.0,0.613254189491272,7750.0,25223.0,620.0,1.536534070968628,2372.0,38756.0,10495.0,13.0
246,amin_usman,428.0,26.0,504.0,8080.0,0.52182537317276,8080.0,26496.0,263.0,1.760001540184021,3291.0,46633.0,11580.0,15.0
247,playyerfly,257.0,16.0,1328.0,9051.0,0.11746987700462341,9051.0,25171.0,156.0,1.274363398551941,8466.0,32077.0,9027.0,12.0
248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,Twitch-Molexis_,440.0,35.0,2110.0,8550.0,0.8838862776756287,8550.0,55544.0,1865.0,1.3940119743347168,3058.0,77429.0,16090.0,34.0
250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
252,Googes__,305.0,48.0,1076.0,9058.0,0.8689591288566589,9058.0,49292.0,935.0,1.4710297584533691,1243.0,72510.0,14230.0,36.0
253,graegoose86,331.0,83.0,1842.0,8962.0,0.6281216144561768,8962.0,55036.0,1157.0,1.001926064491272,5187.0,55142.0,17852.0,12.0
254,HELPHS,355.0,32.0,4.0,6559.0,1.5,6559.0,16191.0,6.0,1.2324748039245605,5461.0,19955.0,7032.0,5.0
255,Paydox,582.0,21.0,478.0,10398.0,0.027196653187274933,10398.0,21359.0,13.0,2.0372676849365234,1233.0,43514.0,6088.0,8.0
256,LieutenantProof,808.0,58.0,402.0,3611.0,1.0447760820388794,3611.0,21535.0,420.0,1.7348966598510742,2647.0,37361.0,9272.0,28.0
257,Gavlar140489,192.0,35.0,546.0,7150.0,0.5201465487480164,7150.0,23220.0,284.0,1.6301463842391968,11458.0,37852.0,8099.0,13.0
258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
259,alexgruebler,539.0,19.0,1496.0,9269.0,0.5207219123840332,9269.0,48915.0,779.0,1.3062046766281128,12547.0,63893.0,15074.0,16.0
260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
262,IAmNerotic,217.0,26.0,542.0,5537.0,0.3044280409812927,5537.0,16378.0,165.0,1.8958969116210938,539.0,31051.0,4785.0,12.0
263,ruudii95,319.0,44.0,595.0,6131.0,0.21176470816135406,6131.0,18387.0,126.0,1.2735627889633179,5398.0,23417.0,6152.0,13.0
264,mvp_46,338.0,49.0,1179.0,7283.0,0.9779474139213562,7283.0,61332.0,1153.0,1.0893172025680542,11957.0,66810.0,10458.0,19.0
265,Emppu__89,426.0,58.0,817.0,11708.0,0.14687882363796234,11708.0,25503.0,120.0,1.4017566442489624,7526.0,35749.0,13053.0,10.0
266,Bstash10,1000.0,494.0,132.0,9229.0,0.7727272510528564,9229.0,25816.0,102.0,2.5066237449645996,12225.0,64711.0,18798.0,13.0
267,Pindaaaass,363.0,15.0,941.0,7304.0,0.5685440897941589,7304.0,30129.0,535.0,1.7131003141403198,3522.0,51614.0,11422.0,19.0
268,KhepraVIII,272.0,35.0,1154.0,19639.0,0.8960138559341431,19639.0,77087.0,1034.0,0.9002944827079773,35811.0,69401.0,16900.0,16.0
